com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
C00345702,SECURE AMERICA'S MAJORITY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00345702,"JOHNSON, SAMUEL",JOHNSON,"$7,501.80","$5,007.10","$23,302.74",2013-09-30
C00411611,SECURE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00411611,,BENNIE G. THOMPSON,"$79,034.70","$21,697.80","$113,031.62",2013-10-31
C00544262,SEMPER FI PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00544262,,PAUL COOK,,,,2013-06-30
C00448696,SENATE CONSERVATIVES FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00448696,"DEMINT, JAMES W",DEMINT,"$6,631,796.50","$6,713,804.80","$1,126,988.12",2013-10-31
C00368431,SENATE MAJORITY FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00368431,,ARIZONA FUND,$73.40,"$37,403.20","$85,467.11",2013-06-30
C00416289,SERVING AMERICA'S CITIZENS PAC  (SACPAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00416289,,REP. DANIEL E. LUNGREN,,"$1,339.70","$3,315.71",2013-06-30
C00402784,SHARP PENCIL PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00402784,"COBLE, JOHN HOWARD",COBLE,"$5,000.00","$2,086.00","$5,545.17",2013-06-30
C00474841,SHERIFF PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00474841,"REICHERT, DAVE",REICHERT,"$10,000.00","$5,970.50","$7,128.17",2013-09-30
C00410308,SHORE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00410308,"PALLONE, FRANK",,"$20,006.00","$33,939.10","$20,187.13",2013-10-31
C00410621,SHOW-ME POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00410621,"GRAVES, SAM",N/A,"$5,000.00",$100.00,"$26,034.42",2013-06-30
C00364901,SILVER STATE 21ST CENTURY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00364901,"BERKLEY, SHELLEY",BERKLEY,,$15.70,,2013-02-28
C00470666,SKIPAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00470666,,JAMES D MATHESON,"$2,000.00","$3,653.30","$9,227.04",2013-06-30
C00360388,SOLIDARITY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00360388,,GEORGE MILLER,"$141,800.00","$84,108.70","$128,369.83",2013-06-30
